,metric,train,test
0,accuracy,0.6790475494138578,0.6800545915383116
1,roc_auc,0.719699936323122,0.721948581089992
2,precision,0.6241704505763186,0.6253058371198882
3,f1,0.5205170216639359,0.5215743440233236
